agent_id,task_amount_done,distance_moved
0,353.0,2463.5932985564086
1,508.0,1831.1006712320266
2,261.0,2372.9446637252736
3,607.0,1622.2984362075429
4,573.0,1714.4369683461148
5,390.0,2147.9450309425897
6,321.0,2514.8252362758544
7,424.0,2023.1282829533009
8,413.0,2037.9031675841807
9,365.0,2141.2818205480007
10,286.0,2372.9421243073543
11,260.0,2657.163530080844
12,349.0,2307.383450916597
13,347.0,2376.619972067485
14,357.0,2213.830586240286
15,322.0,2289.2490478561094
16,398.0,2161.2957503965586
17,244.0,2468.9110656753583
18,492.0,1974.270598900689
19,371.0,2327.6125434272817
20,276.0,2411.6352024346024
21,429.0,1929.3418090383427
22,364.0,2254.3833792697656
23,503.0,2019.913370555001
24,431.0,2056.620006428372
25,346.0,2436.2411981218097
26,433.0,2065.5564198929087
27,318.0,2307.895962836559
28,437.0,2148.561053751868
29,300.0,2495.1890286955463
