agent_id,task_amount_done,distance_moved
0,344.0,2427.4841396683755
1,328.0,2195.6981943013943
2,401.0,2171.5905841922263
3,287.0,2364.8079300446657
4,460.0,1853.7973998777975
5,331.0,2366.4451098705918
6,378.0,2265.202939414013
7,370.0,2297.9995061681334
8,397.0,2031.473566579951
9,279.0,2407.1691746932406
10,333.0,2230.818444673941
11,297.0,2449.6802547130937
12,438.0,2071.949230761495
13,450.0,2024.9335882207386
14,356.0,2269.1106071521967
15,377.0,2259.8068822996424
16,509.0,1779.8251086847042
17,535.0,1687.737522753035
18,325.0,2396.516413354415
19,458.0,2223.483121922241
20,393.0,1991.388401411132
21,453.0,1880.4933541116932
22,451.0,2057.1226747585315
23,485.0,1989.5154625728135
24,353.0,2236.3485280488235
25,455.0,1942.5119255512157
26,532.0,1738.4865079476506
27,310.0,2316.378880172356
28,382.0,2115.21566596107
29,387.0,2072.4285632038427
