time,agents_total_distance_moved,agents_total_task_amount_done,remaining_tasks,tasks_total_amount_left
1.0,0.5,0.0,100,3234.798641875673
2.0,1.2138250286417278,0.0,100,3234.798641875673
3.0,2.360634560871112,0.0,100,3234.798641875673
4.0,3.8567310812542357,0.0,100,3234.798641875673
5.0,5.643170190298595,0.0,100,3234.798641875673
6.0,7.599400063129425,0.0,100,3234.798641875673
7.0,9.659141597738007,0.0,100,3234.798641875673
8.0,11.7562684695378,0.0,100,3234.798641875673
9.0,13.895372068273243,0.0,100,3234.798641875673
10.0,16.078382062153022,0.0,100,3234.798641875673
11.0,18.28613619092788,0.0,100,3234.798641875673
12.0,20.490351549058865,0.0,100,3234.798641875673
13.0,22.691045830399194,0.0,100,3234.798641875673
14.0,24.88823664033282,0.0,100,3234.798641875673
15.0,27.081941496216782,0.0,100,3234.798641875673
16.0,29.27217782782132,0.0,100,3234.798641875673
17.0,31.45896297776784,0.0,100,3234.798641875673
18.0,33.64231420196462,0.0,100,3234.798641875673
19.0,35.82224867004042,0.0,100,3234.798641875673
20.0,37.998783465775844,0.0,100,3234.798641875673
21.0,40.171935587532595,0.0,100,3234.798641875673
22.0,42.34172194868055,0.0,100,3234.798641875673
23.0,44.508159378022775,0.0,100,3234.798641875673
24.0,46.67126462021828,0.0,100,3234.798641875673
25.0,48.83105433620282,0.0,100,3234.798641875673
26.0,50.987545103607424,0.0,100,3234.798641875673
27.0,53.14075341717501,0.0,100,3234.798641875673
28.0,55.29069568917476,0.0,100,3234.798641875673
29.0,57.43738824981452,0.0,100,3234.798641875673
30.0,59.580847347651066,0.0,100,3234.798641875673
31.0,61.721089149998434,1.0,100,3233.798641875673
32.0,63.85812974333406,1.0,100,3233.798641875673
33.0,65.99198513370301,1.0,100,3233.798641875673
34.0,68.12267124712012,2.0,100,3232.798641875673
35.0,70.25020392997014,2.0,100,3232.798641875673
36.0,72.37459894940592,2.0,100,3232.798641875673
37.0,74.49587199374452,3.0,100,3231.798641875673
38.0,76.61403867286141,3.0,100,3231.798641875673
39.0,78.72911451858273,4.0,100,3230.798641875673
40.0,80.84111498507544,4.0,100,3230.798641875673
41.0,82.95005544923569,4.0,100,3230.798641875673
42.0,85.05595121107513,5.0,100,3229.798641875673
43.0,87.15881749410538,5.0,100,3229.798641875673
44.0,89.25866944572047,5.0,100,3229.798641875673
45.0,91.3555221375775,6.0,100,3228.798641875673
46.0,93.44939056597524,6.0,100,3228.798641875673
47.0,95.54028965223098,6.0,100,3228.798641875673
48.0,97.62823424305546,7.0,100,3227.798641875673
49.0,99.7132391109258,7.0,100,3227.798641875673
50.0,101.7953189544568,8.0,100,3226.798641875673
51.0,103.87448839877014,9.0,100,3225.798641875673
52.0,105.95076199586191,9.0,100,3225.798641875673
53.0,108.02415422496823,10.0,100,3224.798641875673
54.0,110.094679492929,11.0,100,3223.798641875673
55.0,112.16235213454999,12.0,100,3222.798641875673
56.0,114.22718641296287,12.0,100,3222.798641875673
57.0,116.28919651998366,13.0,100,3221.798641875673
58.0,118.34839657646937,14.0,100,3220.798641875673
59.0,120.40480063267265,14.0,100,3220.798641875673
60.0,122.45842266859492,15.0,100,3219.798641875673
61.0,124.50927659433756,16.0,100,3218.798641875673
62.0,126.5573762504515,16.0,100,3218.798641875673
63.0,128.60273540828487,17.0,100,3217.798641875673
64.0,130.64536777032907,18.0,100,3216.798641875673
65.0,132.68528697056306,18.0,100,3216.798641875673
66.0,134.72250657479586,19.0,100,3215.798641875673
67.0,136.7570400810075,20.0,100,3214.798641875673
68.0,138.78890091968807,20.0,100,3214.798641875673
69.0,140.81810245417526,20.0,100,3214.798641875673
70.0,142.84465798099,22.0,100,3212.798641875673
71.0,144.8685807301707,22.0,100,3212.798641875673
