time,agents_total_distance_moved,agents_total_task_amount_done,remaining_tasks,tasks_total_amount_left
1.0,0.5,0.0,100,3299.061134356513
2.0,1.1075933286582644,0.0,100,3299.061134356513
3.0,2.048417355743893,0.0,100,3299.061134356513
4.0,2.7930712803981876,0.0,100,3299.061134356513
5.0,3.708385181021291,0.0,100,3299.061134356513
6.0,4.653521265321884,0.0,100,3299.061134356513
7.0,5.843045280603683,0.0,100,3299.061134356513
8.0,7.062996756041802,1.0,100,3298.061134356513
9.0,8.368310535151238,2.0,100,3297.061134356513
10.0,9.711419371357538,2.0,100,3297.061134356513
11.0,11.227854031632207,2.0,100,3297.061134356513
12.0,12.735505417358562,2.0,100,3297.061134356513
13.0,14.36204866728159,2.0,100,3297.061134356513
14.0,15.984780578314114,2.0,100,3297.061134356513
15.0,17.78360004463018,2.0,100,3297.061134356513
16.0,19.67460251752258,2.0,100,3297.061134356513
17.0,21.71783682684555,2.0,100,3297.061134356513
18.0,23.79611695444962,2.0,100,3297.061134356513
19.0,25.968815570488477,2.0,100,3297.061134356513
20.0,28.08865069344714,2.0,100,3297.061134356513
21.0,30.25563664079101,2.0,100,3297.061134356513
22.0,32.36978765839816,2.0,100,3297.061134356513
23.0,34.531117920917275,2.0,100,3297.061134356513
24.0,36.444130724748085,3.0,100,3296.061134356513
25.0,38.39986171789857,3.0,100,3296.061134356513
26.0,40.354573774585496,3.0,100,3296.061134356513
27.0,42.223674174632,3.0,100,3296.061134356513
28.0,44.17620963066104,3.0,100,3296.061134356513
29.0,46.128777199952616,4.0,100,3295.061134356513
30.0,48.103775529376186,5.0,100,3294.061134356513
31.0,50.14230739220843,6.0,100,3293.061134356513
32.0,52.225257997138826,7.0,100,3292.061134356513
33.0,54.305293849044574,8.0,100,3291.061134356513
34.0,56.382429521690796,9.0,100,3290.061134356513
35.0,58.45667951597378,10.0,100,3289.061134356513
36.0,60.528058260285356,11.0,100,3288.061134356513
37.0,62.59658011087537,12.0,100,3287.061134356513
38.0,64.66225935221243,13.0,100,3286.061134356513
39.0,66.72511019734281,14.0,100,3285.061134356513
40.0,68.78514678824754,15.0,100,3284.061134356513
41.0,70.84238319619774,16.0,100,3283.061134356513
42.0,72.8968334221082,17.0,100,3282.061134356513
43.0,74.9485113968891,18.0,100,3281.061134356513
44.0,76.9974309817961,19.0,100,3280.061134356513
45.0,79.04360596877856,20.0,100,3279.061134356513
46.0,81.08705008082612,21.0,100,3278.061134356513
47.0,83.12777697231343,22.0,100,3277.061134356513
48.0,85.16580022934329,23.0,100,3276.061134356513
49.0,87.20113337008803,24.0,100,3275.061134356513
50.0,89.23378984512902,25.0,100,3274.061134356513
51.0,91.26378303779482,26.0,100,3273.061134356513
52.0,93.2911262644973,27.0,100,3272.061134356513
53.0,95.31583277506624,28.0,100,3271.061134356513
54.0,97.33791575308236,29.0,100,3270.061134356513
55.0,99.35738831620839,30.0,100,3269.061134356513
56.0,101.37426351651878,31.0,100,3268.061134356513
57.0,103.38855434082762,32.0,100,3267.061134356513
58.0,105.40027371101493,33.0,100,3266.061134356513
59.0,107.4094344843513,34.0,100,3265.061134356513
60.0,109.41604945382097,35.0,100,3264.061134356513
61.0,111.4201313484433,36.0,100,3263.061134356513
62.0,113.42169283359253,37.0,100,3262.061134356513
63.0,115.42074651131601,38.0,100,3261.061134356513
64.0,117.41730492065088,39.0,100,3260.061134356513
65.0,119.41138053793905,40.0,100,3259.061134356513
66.0,121.4029857771408,41.0,100,3258.061134356513
67.0,123.39213299014654,42.0,100,3257.061134356513
68.0,125.37883446708724,43.0,100,3256.061134356513
69.0,127.36310243664325,44.0,100,3255.061134356513
70.0,129.34494906635146,45.0,100,3254.061134356513
71.0,131.32438646291115,46.0,100,3253.061134356513
72.0,133.30142667248802,47.0,99,3252.061134356513
73.0,135.27683438959608,47.0,99,3252.061134356513
74.0,137.29967420839537,47.0,99,3252.061134356513
75.0,139.3702337375114,47.0,99,3252.061134356513
76.0,141.48858034230997,47.0,99,3252.061134356513
77.0,143.65474575494542,47.0,99,3252.061134356513
78.0,145.83082256497607,47.0,99,3252.061134356513
79.0,148.00476899095656,47.0,99,3252.061134356513
80.0,150.17659568480715,47.0,99,3252.061134356513
81.0,152.3463132451885,47.0,99,3252.061134356513
82.0,154.51393221776794,47.0,99,3252.061134356513
83.0,156.6794630954845,47.0,99,3252.061134356513
84.0,158.84291631881246,47.0,99,3252.061134356513
85.0,161.00430227602376,47.0,99,3252.061134356513
86.0,163.16363130344902,47.0,99,3252.061134356513
87.0,165.32091368573714,47.0,99,3252.061134356513
88.0,167.47615965611385,47.0,99,3252.061134356513
89.0,169.62937939663865,47.0,99,3252.061134356513
90.0,171.78058303846083,47.0,99,3252.061134356513
91.0,173.9297806620739,47.0,99,3252.061134356513
92.0,176.07698229756892,47.0,99,3252.061134356513
93.0,178.22219792488644,47.0,99,3252.061134356513
94.0,180.3654374740674,47.0,99,3252.061134356513
95.0,182.50671082550244,47.0,99,3252.061134356513
96.0,184.6460278101803,47.0,99,3252.061134356513
97.0,186.78339820993477,47.0,99,3252.061134356513
98.0,188.91883175769047,47.0,99,3252.061134356513
99.0,191.0523381377074,47.0,99,3252.061134356513
100.0,193.18392698582426,47.0,99,3252.061134356513
101.0,195.3136078897005,47.0,99,3252.061134356513
102.0,197.44139038905737,47.0,99,3252.061134356513
103.0,199.56650707878498,47.0,99,3252.061134356513
104.0,201.68849818506396,47.0,99,3252.061134356513
105.0,203.80737933581156,47.0,99,3252.061134356513
106.0,205.9231660808054,47.0,99,3252.061134356513
107.0,208.03587389207428,47.0,99,3252.061134356513
108.0,210.14551816428678,47.0,99,3252.061134356513
109.0,212.25211421513825,47.0,99,3252.061134356513
110.0,214.35567728573548,47.0,99,3252.061134356513
111.0,216.4562225409797,47.0,99,3252.061134356513
112.0,218.5537650699477,47.0,99,3252.061134356513
113.0,220.64831988627085,47.0,99,3252.061134356513
114.0,222.7399019285124,47.0,99,3252.061134356513
115.0,224.82852606054274,47.0,99,3252.061134356513
116.0,226.91420707191293,47.0,99,3252.061134356513
117.0,228.99695967822626,47.0,99,3252.061134356513
118.0,231.07679852150804,47.0,99,3252.061134356513
119.0,233.15373817057338,47.0,99,3252.061134356513
120.0,235.22779312139343,47.0,99,3252.061134356513
121.0,237.29897779745937,47.0,99,3252.061134356513
122.0,239.36730655014497,47.0,99,3252.061134356513
123.0,241.43279365906713,47.0,99,3252.061134356513
124.0,243.4954533324447,47.0,99,3252.061134356513
125.0,245.5552997074554,47.0,99,3252.061134356513
126.0,247.612346850591,47.0,99,3252.061134356513
127.0,249.66660875801094,47.0,99,3252.061134356513
128.0,251.7180993558938,47.0,99,3252.061134356513
129.0,253.76683250078722,47.0,99,3252.061134356513
130.0,255.8128219799562,47.0,99,3252.061134356513
131.0,257.8560815117293,47.0,99,3252.061134356513
132.0,259.89662474584355,47.0,99,3252.061134356513
133.0,261.9344652637873,48.0,99,3251.061134356513
134.0,263.9696165791412,48.0,99,3251.061134356513
135.0,266.0020921379184,48.0,99,3251.061134356513
136.0,268.0319053189017,48.0,99,3251.061134356513
137.0,270.0590694339801,48.0,99,3251.061134356513
138.0,272.0835977284831,49.0,99,3250.061134356513
139.0,274.1055033815136,49.0,99,3250.061134356513
140.0,276.1247995062789,49.0,99,3250.061134356513
141.0,278.14149915042043,49.0,99,3250.061134356513
142.0,280.15561529634124,49.0,99,3250.061134356513
143.0,282.16716086153247,50.0,99,3249.061134356513
144.0,284.1761486988977,50.0,99,3249.061134356513
145.0,286.1825915970761,50.0,99,3249.061134356513
146.0,288.1865022807636,51.0,99,3248.061134356513
147.0,290.1878934110327,51.0,99,3248.061134356513
148.0,292.1867775856504,52.0,99,3247.061134356513
149.0,294.1831673393951,53.0,99,3246.061134356513
150.0,296.17707514437103,53.0,99,3246.061134356513
151.0,298.16740906153797,53.0,99,3246.061134356513
152.0,300.15404130911907,54.0,99,3245.061134356513
153.0,302.13699039546225,55.0,99,3244.061134356513
154.0,304.1162747363738,56.0,99,3243.061134356513
155.0,306.0919126555807,56.0,99,3243.061134356513
156.0,308.0639223851916,56.0,99,3243.061134356513
157.0,310.03232206615445,57.0,99,3242.061134356513
158.0,311.99712974871244,58.0,99,3241.061134356513
159.0,313.9583633928577,58.0,99,3241.061134356513
160.0,315.9160408687822,59.0,99,3240.061134356513
161.0,317.8701799573271,59.0,99,3240.061134356513
162.0,319.82079835042924,59.0,99,3240.061134356513
163.0,321.7679136515659,60.0,99,3239.061134356513
164.0,323.71154337619686,61.0,99,3238.061134356513
165.0,325.6517049522047,61.0,99,3238.061134356513
166.0,327.5884157203324,62.0,99,3237.061134356513
167.0,329.5216929346196,62.0,99,3237.061134356513
168.0,331.45155376283526,62.0,99,3237.061134356513
169.0,333.3780152869099,64.0,99,3235.061134356513
170.0,335.30109450336414,64.0,99,3235.061134356513
171.0,337.22080832373615,65.0,99,3234.061134356513
172.0,339.1371175004334,65.0,99,3234.061134356513
173.0,341.0488451312472,65.0,99,3234.061134356513
174.0,342.9560141239069,65.0,99,3234.061134356513
175.0,344.8586472716034,67.0,99,3232.061134356513
176.0,346.75676725356135,67.0,99,3232.061134356513
177.0,348.65039663560947,67.0,99,3232.061134356513
178.0,350.53955787074744,68.0,99,3231.061134356513
179.0,352.4242732997096,68.0,99,3231.061134356513
180.0,354.3045651515271,68.0,99,3231.061134356513
181.0,356.1804555440854,70.0,99,3229.061134356513
182.0,358.051966484681,70.0,99,3229.061134356513
183.0,359.9191198705735,70.0,99,3229.061134356513
184.0,361.78193748953663,71.0,99,3228.061134356513
185.0,363.6404410204049,71.0,99,3228.061134356513
186.0,365.4946520336188,71.0,99,3228.061134356513
187.0,367.3445919917667,73.0,99,3226.061134356513
188.0,369.19028225012386,73.0,99,3226.061134356513
189.0,371.0317440571892,73.0,99,3226.061134356513
190.0,372.8689985552192,74.0,99,3225.061134356513
191.0,374.7020667807591,74.0,99,3225.061134356513
192.0,376.53096966517126,74.0,99,3225.061134356513
193.0,378.3557280351614,74.0,99,3225.061134356513
194.0,380.17636261330154,76.0,99,3223.061134356513
195.0,381.992894018551,76.0,99,3223.061134356513
196.0,383.80534276677423,76.0,99,3223.061134356513
197.0,385.6137292712563,77.0,99,3222.061134356513
198.0,387.418073843216,77.0,99,3222.061134356513
199.0,389.2183966923159,77.0,99,3222.061134356513
200.0,391.0147179271703,79.0,98,3220.061134356513
201.0,392.7694040531523,79.0,98,3220.061134356513
202.0,394.5490612204803,79.0,98,3220.061134356513
203.0,396.37469572843384,79.0,98,3220.061134356513
204.0,398.2465586626182,80.0,98,3219.061134356513
205.0,400.1647178078519,80.0,98,3219.061134356513
206.0,402.1182298933681,80.0,98,3219.061134356513
207.0,404.06697441845665,81.0,98,3218.061134356513
208.0,406.0109752209198,81.0,98,3218.061134356513
209.0,407.9502560193706,82.0,98,3217.061134356513
210.0,409.8848404138292,82.0,98,3217.061134356513
211.0,411.81475188631543,83.0,98,3216.061134356513
212.0,413.74001380143926,83.0,98,3216.061134356513
213.0,415.6606494069875,84.0,98,3215.061134356513
214.0,417.57668183450795,84.0,98,3215.061134356513
215.0,419.48813409989083,85.0,98,3214.061134356513
216.0,421.3950291039468,85.0,98,3214.061134356513
217.0,423.2973896329825,86.0,98,3213.061134356513
218.0,425.195238359373,87.0,98,3212.061134356513
219.0,427.08859784213155,87.0,98,3212.061134356513
220.0,428.9774905274763,87.0,98,3212.061134356513
221.0,430.8619387493943,87.0,98,3212.061134356513
222.0,432.74196473020277,89.0,98,3210.061134356513
223.0,434.6175905811072,89.0,98,3210.061134356513
224.0,436.4888383027571,89.0,98,3210.061134356513
225.0,438.3557297857987,89.0,98,3210.061134356513
226.0,440.2182868114251,91.0,98,3208.061134356513
227.0,442.0765310519234,91.0,98,3208.061134356513
228.0,443.9304840712192,91.0,98,3208.061134356513
229.0,445.7801673254185,91.0,98,3208.061134356513
230.0,447.62560216334685,92.0,98,3207.061134356513
231.0,449.4668098270855,93.0,98,3206.061134356513
232.0,451.30381145250556,93.0,98,3206.061134356513
233.0,453.1366280697984,93.0,98,3206.061134356513
234.0,454.9652806040049,94.0,98,3205.061134356513
235.0,456.78978987554024,95.0,98,3204.061134356513
236.0,458.610176600718,95.0,98,3204.061134356513
237.0,460.4264613922698,95.0,98,3204.061134356513
238.0,462.23866475986387,96.0,98,3203.061134356513
239.0,464.04680711061997,96.0,98,3203.061134356513
240.0,465.85090874962225,97.0,98,3202.061134356513
241.0,467.65098988042956,97.0,98,3202.061134356513
242.0,469.44707060558284,98.0,98,3201.061134356513
243.0,471.2391709271103,98.0,98,3201.061134356513
244.0,473.0273107470302,98.0,98,3201.061134356513
245.0,474.8115098678505,99.0,98,3200.061134356513
246.0,476.59178799306665,99.0,98,3200.061134356513
247.0,478.36816472765673,100.0,98,3199.061134356513
248.0,480.14065957857383,100.0,98,3199.061134356513
249.0,481.90929195523637,100.0,98,3199.061134356513
250.0,483.6740811700156,101.0,98,3198.061134356513
251.0,485.435046438721,102.0,98,3197.061134356513
252.0,487.19220688108277,102.0,98,3197.061134356513
253.0,488.9455815212328,102.0,98,3197.061134356513
254.0,490.69518928818206,102.0,98,3197.061134356513
255.0,492.4410490162966,103.0,98,3196.061134356513
256.0,494.18317944577046,104.0,98,3195.061134356513
257.0,495.9215992230971,104.0,98,3195.061134356513
258.0,497.656326901537,104.0,98,3195.061134356513
259.0,499.3873809415847,104.0,98,3195.061134356513
260.0,501.11475116247277,106.0,98,3193.061134356513
261.0,502.8372345322564,106.0,98,3193.061134356513
262.0,504.55485548519107,106.0,98,3193.061134356513
263.0,506.2676383333611,106.0,98,3193.061134356513
264.0,507.9756072672903,106.0,98,3193.061134356513
265.0,509.67878635654984,108.0,98,3191.061134356513
266.0,511.37719955036306,108.0,98,3191.061134356513
267.0,513.0708706782073,108.0,98,3191.061134356513
268.0,514.7598234504122,108.0,98,3191.061134356513
269.0,516.4440814587562,108.0,98,3191.061134356513
270.0,518.1236681770583,109.0,98,3190.061134356513
271.0,519.798606961769,110.0,98,3189.061134356513
272.0,521.4689210525562,110.0,98,3189.061134356513
273.0,523.1346335728894,110.0,98,3189.061134356513
274.0,524.7957675306209,110.0,98,3189.061134356513
275.0,526.4523458185638,111.0,98,3188.061134356513
276.0,528.1043912150669,111.0,98,3188.061134356513
277.0,529.7519263845876,112.0,98,3187.061134356513
278.0,531.3949196102191,112.0,98,3187.061134356513
279.0,533.0321978697224,112.0,98,3187.061134356513
280.0,534.6637897379281,113.0,98,3186.061134356513
281.0,536.2897236467929,114.0,98,3185.061134356513
282.0,537.9100278861134,115.0,98,3184.061134356513
283.0,539.5247306042373,116.0,98,3183.061134356513
284.0,541.1338598087706,116.0,98,3183.061134356513
285.0,542.7374433672811,117.0,98,3182.061134356513
286.0,544.3355090079991,118.0,98,3181.061134356513
287.0,545.9280843205136,118.0,98,3181.061134356513
288.0,547.5151967564655,120.0,98,3179.061134356513
289.0,549.0968736302376,120.0,98,3179.061134356513
290.0,550.6731421196408,121.0,98,3178.061134356513
291.0,552.2440292665971,122.0,98,3177.061134356513
292.0,553.8095619778185,122.0,98,3177.061134356513
293.0,555.3697670254838,122.0,98,3177.061134356513
294.0,556.9246710479108,123.0,98,3176.061134356513
295.0,558.4743005502257,124.0,98,3175.061134356513
296.0,560.018681905029,125.0,98,3174.061134356513
297.0,561.5578413530583,126.0,98,3173.061134356513
298.0,563.0918050038475,126.0,98,3173.061134356513
299.0,564.6205988363827,127.0,98,3172.061134356513
300.0,566.1442486997552,127.0,98,3172.061134356513
301.0,567.6627803138109,128.0,97,3171.061134356513
302.0,569.1357460527637,130.0,97,3169.061134356513
303.0,570.6434581903018,130.0,97,3169.061134356513
304.0,572.196381767152,130.0,97,3169.061134356513
305.0,573.6945407261181,131.0,97,3168.061134356513
306.0,575.2379588902894,131.0,97,3168.061134356513
307.0,576.7266599636398,133.0,97,3166.061134356513
308.0,578.2606675316235,134.0,97,3165.061134356513
309.0,579.7400050617672,135.0,97,3164.061134356513
310.0,581.2646959042602,135.0,97,3164.061134356513
311.0,582.7347632925408,136.0,97,3163.061134356513
312.0,584.2128100676151,137.0,97,3162.061134356513
313.0,585.6867305403465,138.0,97,3161.061134356513
314.0,587.094132693234,139.0,97,3160.061134356513
315.0,588.5462741984315,140.0,97,3159.061134356513
316.0,590.0438912848693,140.0,97,3159.061134356513
317.0,591.5870157775101,142.0,97,3157.061134356513
318.0,593.1756724356867,142.0,97,3157.061134356513
319.0,594.8098650723321,143.0,97,3156.061134356513
320.0,596.4396367457942,145.0,97,3154.061134356513
321.0,598.065009560889,145.0,97,3154.061134356513
322.0,599.6860055119084,145.0,97,3154.061134356513
323.0,601.3026464831728,147.0,97,3152.061134356513
324.0,602.9149542495807,147.0,97,3152.061134356513
325.0,604.5229504771567,147.0,97,3152.061134356513
326.0,606.1266567235947,150.0,96,3149.061134356513
327.0,607.7687935070057,150.0,96,3149.061134356513
328.0,609.4059433088335,150.0,96,3149.061134356513
329.0,611.0621867176958,151.0,96,3148.061134356513
330.0,612.7510377322941,152.0,96,3147.061134356513
331.0,614.4785583528522,153.0,96,3146.061134356513
332.0,616.2476184974716,154.0,96,3145.061134356513
333.0,618.0224435333907,156.0,96,3143.061134356513
334.0,619.7933944441303,156.0,96,3143.061134356513
335.0,621.560490600316,158.0,96,3141.061134356513
336.0,623.323751275721,160.0,96,3139.061134356513
337.0,625.0831956477488,160.0,96,3139.061134356513
338.0,626.8388427979165,162.0,96,3137.061134356513
339.0,628.5907117123334,163.0,96,3136.061134356513
340.0,630.3388212821782,164.0,96,3135.061134356513
341.0,632.0831903041737,166.0,96,3133.061134356513
342.0,633.8238374810593,166.0,96,3133.061134356513
343.0,635.5607814220605,167.0,96,3132.061134356513
344.0,637.2940406433567,170.0,96,3129.061134356513
345.0,639.0236335685463,170.0,96,3129.061134356513
346.0,640.7495785291101,170.0,96,3129.061134356513
347.0,642.471893764871,173.0,96,3126.061134356513
348.0,644.190597424453,174.0,96,3125.061134356513
349.0,645.9057075657372,174.0,96,3125.061134356513
350.0,647.617242156315,177.0,96,3122.061134356513
351.0,649.3252190739399,177.0,96,3122.061134356513
352.0,651.0296561069766,177.0,96,3122.061134356513
353.0,652.7305709548482,179.0,96,3120.061134356513
354.0,654.4279812284803,181.0,96,3118.061134356513
355.0,656.1219044507444,181.0,96,3118.061134356513
356.0,657.8123580568972,182.0,96,3117.061134356513
357.0,659.4993593950192,185.0,96,3114.061134356513
358.0,661.1829257264505,185.0,96,3114.061134356513
359.0,662.8630742262247,186.0,96,3113.061134356513
360.0,664.5398219835,187.0,96,3112.061134356513
361.0,666.2119496466624,188.0,96,3111.061134356513
362.0,667.8794666715091,190.0,96,3109.061134356513
363.0,669.5423961112315,190.0,96,3109.061134356513
364.0,671.2007609037552,191.0,96,3108.061134356513
365.0,672.8545838723164,193.0,96,3106.061134356513
366.0,674.5038877260347,193.0,96,3106.061134356513
367.0,676.1486950604844,195.0,96,3104.061134356513
368.0,677.7890283582619,195.0,96,3104.061134356513
