time,agents_total_distance_moved,agents_total_task_amount_done,remaining_tasks,tasks_total_amount_left
1.0,0.5,0.0,100,3273.210398309649
2.0,0.9333972341874225,0.0,100,3273.210398309649
3.0,1.5449515380588892,0.0,100,3273.210398309649
4.0,2.2093740447130674,0.0,100,3273.210398309649
5.0,2.836982566651885,0.0,100,3273.210398309649
6.0,3.4131033321399165,0.0,100,3273.210398309649
7.0,4.209655663588828,0.0,100,3273.210398309649
8.0,4.986385585193313,0.0,100,3273.210398309649
9.0,5.719339718966167,0.0,100,3273.210398309649
10.0,6.191170246191599,0.0,100,3273.210398309649
11.0,6.850476018236301,0.0,100,3273.210398309649
12.0,7.474637186536623,0.0,100,3273.210398309649
13.0,8.254097836076188,0.0,100,3273.210398309649
14.0,9.111300074381568,0.0,100,3273.210398309649
15.0,10.127962540575163,0.0,100,3273.210398309649
16.0,11.258837107283302,0.0,100,3273.210398309649
17.0,12.57116641993614,0.0,100,3273.210398309649
18.0,13.972954533238292,0.0,100,3273.210398309649
19.0,15.3949984610384,0.0,100,3273.210398309649
20.0,16.858658300567374,0.0,100,3273.210398309649
21.0,18.570497024691534,0.0,100,3273.210398309649
22.0,20.275251647500475,0.0,100,3273.210398309649
23.0,22.124617529973662,0.0,100,3273.210398309649
24.0,23.684549562378077,0.0,100,3273.210398309649
25.0,25.275927566623004,0.0,100,3273.210398309649
26.0,26.79687974245737,0.0,100,3273.210398309649
27.0,28.350163867429682,0.0,100,3273.210398309649
28.0,29.840574525386636,0.0,100,3273.210398309649
29.0,31.347952592506978,0.0,100,3273.210398309649
30.0,32.80229507982991,0.0,100,3273.210398309649
31.0,34.10773427062047,0.0,100,3273.210398309649
32.0,35.55422817745826,1.0,100,3272.210398309649
33.0,37.22878961873931,1.0,100,3272.210398309649
34.0,39.093945804073314,1.0,100,3272.210398309649
35.0,41.10098407729538,2.0,100,3271.210398309649
36.0,43.20303743154487,2.0,100,3271.210398309649
37.0,45.35294847556181,3.0,100,3270.210398309649
38.0,47.50085996435866,3.0,100,3270.210398309649
39.0,49.646781895711534,4.0,100,3269.210398309649
40.0,51.79072421740764,4.0,100,3269.210398309649
41.0,53.93269682749527,4.0,100,3269.210398309649
42.0,56.07270957453245,5.0,100,3268.210398309649
43.0,58.210772257834456,5.0,100,3268.210398309649
44.0,60.34689462771995,6.0,100,3267.210398309649
45.0,62.4800070742235,6.0,100,3267.210398309649
46.0,64.60995395849454,6.0,100,3267.210398309649
47.0,66.73566920091992,7.0,100,3266.210398309649
48.0,68.85700586713315,7.0,100,3266.210398309649
49.0,70.97398585001534,7.0,100,3266.210398309649
50.0,73.0866309329831,8.0,100,3265.210398309649
51.0,75.19496279053602,8.0,100,3265.210398309649
52.0,77.29899974788357,9.0,100,3264.210398309649
53.0,79.39751652044437,9.0,100,3264.210398309649
54.0,81.49054070914237,9.0,100,3264.210398309649
55.0,83.57809977689688,10.0,100,3263.210398309649
56.0,85.66022104931261,10.0,100,3263.210398309649
57.0,87.73693171536627,10.0,100,3263.210398309649
58.0,89.80825882808965,11.0,100,3262.210398309649
59.0,91.87422930524943,11.0,100,3262.210398309649
60.0,93.9348699300234,12.0,100,3261.210398309649
61.0,95.99020735167349,12.0,100,3261.210398309649
62.0,98.04026808621535,12.0,100,3261.210398309649
63.0,100.0850785170845,13.0,100,3260.210398309649
64.0,102.1246648957993,13.0,100,3260.210398309649
65.0,104.15905334262051,13.0,100,3260.210398309649
66.0,106.18826984720764,14.0,100,3259.210398309649
67.0,108.2123402692718,14.0,100,3259.210398309649
68.0,110.23129033922567,14.0,100,3259.210398309649
69.0,112.24514565882976,15.0,100,3258.210398309649
70.0,114.25393170183582,15.0,100,3258.210398309649
71.0,116.25767381462687,15.0,100,3258.210398309649
72.0,118.25639721685396,16.0,100,3257.210398309649
73.0,120.2501270020699,17.0,100,3256.210398309649
74.0,122.23888813835977,18.0,100,3255.210398309649
75.0,124.2227054689682,18.0,100,3255.210398309649
76.0,126.20160371292357,19.0,100,3254.210398309649
77.0,128.17560746565917,20.0,100,3253.210398309649
78.0,130.14474119963108,21.0,100,3252.210398309649
79.0,132.10902926493316,21.0,100,3252.210398309649
80.0,134.06849588990872,22.0,100,3251.210398309649
81.0,136.0231651817594,23.0,100,3250.210398309649
82.0,137.9730611271508,23.0,100,3250.210398309649
83.0,139.91820759281526,23.0,100,3250.210398309649
84.0,141.8586283261514,25.0,100,3248.210398309649
85.0,143.79434695582088,25.0,100,3248.210398309649
86.0,145.72538699234198,25.0,100,3248.210398309649
87.0,147.6517718286805,27.0,100,3246.210398309649
88.0,149.5735247408373,27.0,100,3246.210398309649
89.0,151.49066888843336,28.0,100,3245.210398309649
90.0,153.40322731529142,30.0,100,3243.210398309649
91.0,155.31122295001518,30.0,100,3243.210398309649
92.0,157.21467860656531,31.0,100,3242.210398309649
93.0,159.1136169848327,33.0,100,3240.210398309649
94.0,161.00806067120874,33.0,100,3240.210398309649
95.0,162.89803213915292,34.0,100,3239.210398309649
96.0,164.78355374975737,35.0,100,3238.210398309649
97.0,166.6646477523088,36.0,100,3237.210398309649
98.0,168.5413362848475,37.0,100,3236.210398309649
99.0,170.41364137472345,37.0,100,3236.210398309649
100.0,172.28158493915006,38.0,100,3235.210398309649
101.0,174.14518878575453,40.0,100,3233.210398309649
102.0,176.00447461312598,40.0,100,3233.210398309649
103.0,177.85946401136056,41.0,100,3232.210398309649
104.0,179.71017846260398,41.0,100,3232.210398309649
105.0,181.5566393415912,43.0,100,3230.210398309649
106.0,183.39886791618346,44.0,100,3229.210398309649
107.0,185.23688534790276,44.0,100,3229.210398309649
108.0,187.07071269246345,45.0,100,3228.210398309649
109.0,188.90037090030137,46.0,100,3227.210398309649
110.0,190.72588081710006,47.0,100,3226.210398309649
111.0,192.5472631843148,48.0,100,3225.210398309649
112.0,194.36453863969345,48.0,100,3225.210398309649
113.0,196.1777277177952,50.0,100,3223.210398309649
114.0,197.98685085050644,51.0,100,3222.210398309649
115.0,199.79192836755414,51.0,100,3222.210398309649
116.0,201.59298049701658,51.0,100,3222.210398309649
117.0,203.3900273658317,54.0,100,3219.210398309649
118.0,205.18308900030277,54.0,100,3219.210398309649
119.0,206.9713553147073,54.0,100,3219.210398309649
120.0,208.75389948355757,54.0,100,3219.210398309649
121.0,210.5300309315636,56.0,100,3217.210398309649
122.0,212.29978172232956,57.0,100,3216.210398309649
123.0,214.06318375914174,57.0,100,3216.210398309649
124.0,215.81915565181944,59.0,100,3214.210398309649
125.0,217.5675976850338,59.0,100,3214.210398309649
126.0,219.30854750808209,60.0,100,3213.210398309649
127.0,221.04204258201509,60.0,100,3213.210398309649
128.0,222.76812018057848,62.0,100,3211.210398309649
129.0,224.48681739114903,62.0,100,3211.210398309649
130.0,226.19817111566672,62.0,100,3211.210398309649
131.0,227.90221807156183,64.0,100,3209.210398309649
132.0,229.59899479267744,65.0,100,3208.210398309649
133.0,231.2885376301875,65.0,100,3208.210398309649
134.0,232.97088275351,65.0,100,3208.210398309649
135.0,234.6460661512159,67.0,100,3206.210398309649
136.0,236.31412363193326,68.0,100,3205.210398309649
137.0,237.97509082524704,68.0,100,3205.210398309649
138.0,239.62900318259423,69.0,100,3204.210398309649
139.0,241.27589597815472,69.0,100,3204.210398309649
140.0,242.91580430973738,71.0,100,3202.210398309649
141.0,244.54876309966215,71.0,100,3202.210398309649
142.0,246.17480709563728,72.0,100,3201.210398309649
