time,agents_total_distance_moved,agents_total_task_amount_done,remaining_tasks,tasks_total_amount_left
1.0,0.5,1.0,100,3330.4795783008303
2.0,1.5000000000000002,2.0,100,3329.4795783008303
3.0,2.964298663590001,2.0,100,3329.4795783008303
4.0,4.744351574054243,3.0,100,3328.4795783008303
5.0,6.771153974622563,3.0,100,3328.4795783008303
6.0,8.79282236318804,3.0,100,3328.4795783008303
7.0,10.809382409810691,4.0,100,3327.4795783008303
8.0,12.820859656200227,4.0,100,3327.4795783008303
9.0,14.827279516357818,5.0,100,3326.4795783008303
10.0,16.82866727721462,5.0,100,3326.4795783008303
11.0,18.82504809926714,5.0,100,3326.4795783008303
12.0,20.816447017209395,6.0,100,3325.4795783008303
13.0,22.80288894056194,6.0,100,3325.4795783008303
14.0,24.78439865429772,7.0,100,3324.4795783008303
15.0,26.761000819464826,7.0,100,3324.4795783008303
16.0,28.73271997380609,7.0,100,3324.4795783008303
17.0,30.699580532375652,8.0,100,3323.4795783008303
18.0,32.66160678815237,8.0,100,3323.4795783008303
19.0,34.618822912650195,8.0,100,3323.4795783008303
20.0,36.57125295652554,9.0,100,3322.4795783008303
21.0,38.5189208501815,9.0,100,3322.4795783008303
22.0,40.46185040436919,10.0,100,3321.4795783008303
23.0,42.40006531078593,10.0,100,3321.4795783008303
24.0,44.3335891426706,10.0,100,3321.4795783008303
25.0,46.26244535539583,11.0,100,3320.4795783008303
26.0,48.18665728705745,11.0,100,3320.4795783008303
27.0,50.106248159060755,11.0,100,3320.4795783008303
28.0,52.02124107670404,12.0,100,3319.4795783008303
29.0,53.93165902975911,13.0,100,3318.4795783008303
30.0,55.83752489304891,13.0,100,3318.4795783008303
31.0,57.73886142702225,15.0,100,3316.4795783008303
32.0,59.63569127832573,15.0,100,3316.4795783008303
33.0,61.5280369803727,15.0,100,3316.4795783008303
34.0,63.41592095390942,17.0,100,3314.4795783008303
35.0,65.29936550757846,17.0,100,3314.4795783008303
36.0,67.17839283847917,18.0,100,3313.4795783008303
37.0,69.05302503272536,19.0,100,3312.4795783008303
38.0,70.92328406600032,19.0,100,3312.4795783008303
39.0,72.78919180410891,20.0,100,3311.4795783008303
40.0,74.65077000352696,21.0,100,3310.4795783008303
41.0,76.50804031194791,21.0,100,3310.4795783008303
42.0,78.36102426882677,22.0,100,3309.4795783008303
43.0,80.20974330592122,23.0,100,3308.4795783008303
44.0,82.0542187478302,24.0,100,3307.4795783008303
45.0,83.89447181252964,24.0,100,3307.4795783008303
46.0,85.73052361190558,25.0,100,3306.4795783008303
47.0,87.56239515228464,26.0,100,3305.4795783008303
48.0,89.3901073349618,26.0,100,3305.4795783008303
49.0,91.21368095672558,28.0,100,3303.4795783008303
50.0,93.03313671038055,28.0,100,3303.4795783008303
51.0,94.84849518526723,28.0,100,3303.4795783008303
52.0,96.65977686777947,30.0,100,3301.4795783008303
53.0,98.46700214187916,30.0,100,3301.4795783008303
54.0,100.27019128960836,30.0,100,3301.4795783008303
55.0,102.0693644915989,32.0,100,3299.4795783008303
56.0,103.8645418275795,32.0,100,3299.4795783008303
57.0,105.65574327688019,32.0,100,3299.4795783008303
58.0,107.44298871893439,33.0,100,3298.4795783008303
59.0,109.2262979337783,34.0,100,3297.4795783008303
60.0,111.00569060254799,34.0,100,3297.4795783008303
61.0,112.78118630797384,35.0,100,3296.4795783008303
62.0,114.55280453487256,36.0,100,3295.4795783008303
63.0,116.32056467063678,36.0,100,3295.4795783008303
64.0,118.0844860057222,37.0,100,3294.4795783008303
65.0,119.84458773413218,38.0,100,3293.4795783008303
66.0,121.6008889539001,39.0,100,3292.4795783008303
67.0,123.35340866756918,39.0,100,3292.4795783008303
68.0,125.10216578266993,39.0,100,3292.4795783008303
69.0,126.84717911219516,41.0,100,3290.4795783008303
70.0,128.58846737507278,41.0,100,3290.4795783008303
71.0,130.326049196636,41.0,100,3290.4795783008303
72.0,132.05994310909142,43.0,100,3288.4795783008303
73.0,133.79016755198455,43.0,100,3288.4795783008303
74.0,135.5167408726632,43.0,100,3288.4795783008303
75.0,137.2396813267385,43.0,100,3288.4795783008303
76.0,138.95900707854338,45.0,100,3286.4795783008303
77.0,140.67473620158927,45.0,100,3286.4795783008303
78.0,142.3868866790199,45.0,100,3286.4795783008303
79.0,144.0954764040634,47.0,100,3284.4795783008303
80.0,145.80052318048166,47.0,100,3284.4795783008303
81.0,147.50167582217202,47.0,100,3284.4795783008303
82.0,149.19807270065394,48.0,100,3283.4795783008303
83.0,150.88973759474345,49.0,100,3282.4795783008303
84.0,152.5766941643625,49.0,100,3282.4795783008303
85.0,154.25896595113346,50.0,100,3281.4795783008303
86.0,155.93657637897059,50.0,100,3281.4795783008303
87.0,157.60954875466848,51.0,100,3280.4795783008303
88.0,159.27790626848792,52.0,100,3279.4795783008303
89.0,160.94167199473827,52.0,100,3279.4795783008303
90.0,162.60086889235734,52.0,100,3279.4795783008303
91.0,164.25551980548832,53.0,100,3278.4795783008303
92.0,165.90564746405366,54.0,100,3277.4795783008303
93.0,167.55127448432614,54.0,100,3277.4795783008303
94.0,169.1924233694973,54.0,100,3277.4795783008303
95.0,170.82911651024259,56.0,100,3275.4795783008303
96.0,172.46137618528414,56.0,100,3275.4795783008303
97.0,174.0892245619505,56.0,100,3275.4795783008303
98.0,175.7126836967335,57.0,100,3274.4795783008303
99.0,177.3317755358426,58.0,100,3273.4795783008303
100.0,178.94652191575616,58.0,100,3273.4795783008303
101.0,180.55694456377014,58.0,100,3273.4795783008303
102.0,182.16306509854408,59.0,100,3272.4795783008303
103.0,183.76490503064412,60.0,100,3271.4795783008303
104.0,185.36160225066612,60.0,100,3271.4795783008303
105.0,186.95281598458803,60.0,100,3271.4795783008303
106.0,188.53857364984034,61.0,100,3270.4795783008303
107.0,190.11890252676636,62.0,100,3269.4795783008303
108.0,191.6938297593078,62.0,100,3269.4795783008303
109.0,193.26338235568647,63.0,100,3268.4795783008303
110.0,194.8275871890833,63.0,100,3268.4795783008303
111.0,196.3864709983131,64.0,100,3267.4795783008303
112.0,197.94006038849676,64.0,100,3267.4795783008303
113.0,199.48838183172953,65.0,100,3266.4795783008303
114.0,201.03146166774613,65.0,100,3266.4795783008303
115.0,202.56932610458261,65.0,100,3266.4795783008303
116.0,204.10200121923495,66.0,100,3265.4795783008303
117.0,205.629512958314,67.0,100,3264.4795783008303
118.0,207.15188713869767,67.0,100,3264.4795783008303
119.0,208.6691494481794,67.0,100,3264.4795783008303
120.0,210.18132544611376,69.0,100,3262.4795783008303
121.0,211.6884405640584,69.0,100,3262.4795783008303
122.0,213.19052010641335,69.0,100,3262.4795783008303
